,manager,href,href_text,alt,img
96,Chris Barris,https://www.linkedin.com/in/chris-barris-5ba25954,"Chris Barris - Head of Global High ...
linkedin.com",Chris Barris - Head of Global High Yield & Deputy CIO - Alcentra | LinkedIn,/Users/jsusser/Desktop/managers/Chris Barris/8DPLTX US equity Chris Barris.jpg
97,Kevin L Cronk,https://iuhoosiers.com/sports/football/roster/coy-cronk/13764,"Coy Cronk - Football - Indiana ...
iuhoosiers.com",Coy Cronk - Football - Indiana University Athletics,/Users/jsusser/Desktop/managers/Kevin L Cronk/2DPLTX US equity Kevin L Cronk.jpg
98,Kevin L Cronk,https://www.thecouriertimes.com/obituaries/kim-l-cronk/article_291c1e94-e63b-5edf-8a6b-9d84cca9ceca.html,"Kim L. Cronk | Obituaries ...
thecouriertimes.com",Kim L. Cronk | Obituaries | thecouriertimes.com,/Users/jsusser/Desktop/managers/Kevin L Cronk/3DPLTX US equity Kevin L Cronk.jpg
99,Kevin L Cronk,https://www.mutualfundobserver.com/page/47/?s,"Mutual Fund Observer ...
mutualfundobserver.com",Search Results for | Mutual Fund Observer - Page 47,/Users/jsusser/Desktop/managers/Kevin L Cronk/6DPLTX US equity Kevin L Cronk.jpg
100,Sean Feeley,https://www.linkedin.com/in/sean-feely,"Sean Feely - Manager, Corporate ...
linkedin.com","Sean Feely - Manager, Corporate Development and Strategy/M&A - Superior  Plus Corp | LinkedIn",/Users/jsusser/Desktop/managers/Sean Feeley/2MPHAX US equity Sean Feeley.jpg
101,Sean Feeley,https://huntscanlon.com/recruiter/corinne-feeley/,"Corinne Feeley | Hunt Scanlon Media
huntscanlon.com",Corinne Feeley | Hunt Scanlon Media,/Users/jsusser/Desktop/managers/Sean Feeley/5MPHAX US equity Sean Feeley.jpg
102,Sean Feeley,https://stoneturn.com/who-we-are/our-people/michael-feeley/,"Michael Feeley - StoneTurn
stoneturn.com",Michael Feeley - StoneTurn,/Users/jsusser/Desktop/managers/Sean Feeley/8MPHAX US equity Sean Feeley.jpg
103,Ricky Liu,https://www.linkedin.com/in/rwkliu,"Ricky Liu - United States ...
linkedin.com",Ricky Liu - United States | Professional Profile | LinkedIn,/Users/jsusser/Desktop/managers/Ricky Liu/1HBYAX US equity Ricky Liu.jpg
104,Ricky Liu,https://www.linkedin.com/in/rwkliu,"Ricky Liu - United States ...
linkedin.com",Ricky Liu - United States | Professional Profile | LinkedIn,/Users/jsusser/Desktop/managers/Ricky Liu/6HBYAX US equity Ricky Liu.jpg
105,Matt Toms,https://individuals.voya.com/document/fund-fact-book/voya-funds-fact-book.pdf,"Funds Fact Book
individuals.voya.com",Funds Fact Book,/Users/jsusser/Desktop/managers/Matt Toms/14IHYAX US equity Matt Toms.jpg
106,Mike Skatrud,https://www.mfs.com/en-us/individual-investor/product-strategies/closed-end-funds/CIF-mfs-intermediate-high-income-fund.html,"CIF: MFS® Intermediate High Income Fund ...
mfs.com",CIF: MFS® Intermediate High Income Fund | MFS,/Users/jsusser/Desktop/managers/Mike Skatrud/13MHITX US equity Mike Skatrud.jpg
107,Marianne Rossi,https://www.sec.gov/Archives/edgar/data/1391673/000119312511258827/d212462d485bpos.htm,"Stone Harbor Investment Funds
sec.gov",Stone Harbor Investment Funds,/Users/jsusser/Desktop/managers/Marianne Rossi/1SHHYX US equity Marianne Rossi.jpg
108,Peter J Wilby,https://www.jhinvestments.com/investments/mutual-fund/fixed-income-funds/short-duration-credit-opportunities-fund-r6-jsdex,"John Hancock Short Duration Credit ...
jhinvestments.com",John Hancock Short Duration Credit Opportunities Fund (JSDEX),/Users/jsusser/Desktop/managers/Peter J Wilby/1SHHYX US equity Peter J Wilby.jpg
109,Peter J Wilby,https://www.pionline.com/article/20110502/PRINT/305029927/peter-wilby-s-stone-harbor-survived-a-financial-maelstrom-and-came-out-stronger,"Peter Wilby's Stone Harbor survived a ...
pionline.com",Peter Wilby's Stone Harbor survived a financial maelstrom and came out  stronger,/Users/jsusser/Desktop/managers/Peter J Wilby/2SHHYX US equity Peter J Wilby.jpg
110,Peter J Wilby,https://www.jhinvestments.com/investments/mutual-fund/fixed-income-funds/short-duration-credit-opportunities-fund-r6-jsdex,"John Hancock Short Duration Credit ...
jhinvestments.com",John Hancock Short Duration Credit Opportunities Fund (JSDEX),/Users/jsusser/Desktop/managers/Peter J Wilby/4SHHYX US equity Peter J Wilby.jpg
111,Peter J Wilby,https://www.sec.gov/Archives/edgar/data/1391673/000119312511258827/d212462d485bpos.htm,"Stone Harbor Investment Funds
sec.gov",Stone Harbor Investment Funds,/Users/jsusser/Desktop/managers/Peter J Wilby/10SHHYX US equity Peter J Wilby.jpg
112,"Daniel Berkery ""Dan""",https://corp.roblox.com/people/,"Our People - Roblox
corp.roblox.com",Our People - Roblox,"/Users/jsusser/Desktop/managers/Daniel Berkery ""Dan""/2SHHYX US equity Daniel Berkery ""Dan"".jpg"
113,"Daniel Berkery ""Dan""",https://learnlaunch.org/speakers2017/,"Submissions
learnlaunch.org",Submissions,"/Users/jsusser/Desktop/managers/Daniel Berkery ""Dan""/9SHHYX US equity Daniel Berkery ""Dan"".jpg"
114,Mark C Luchsinger,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/Mark C Luchsinger/1TPHAX US equity Mark C Luchsinger.jpg
115,Mark C Luchsinger,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/Mark C Luchsinger/2TPHAX US equity Mark C Luchsinger.jpg
116,Mark C Luchsinger,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/Mark C Luchsinger/3TPHAX US equity Mark C Luchsinger.jpg
117,Mark C Luchsinger,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/Mark C Luchsinger/4TPHAX US equity Mark C Luchsinger.jpg
118,J Scott McDonald,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/J Scott McDonald/1TPHAX US equity J Scott McDonald.jpg
119,Deborah Petruzzelli,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/Deborah Petruzzelli/1TPHAX US equity Deborah Petruzzelli.jpg
120,Deborah Petruzzelli,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/Deborah Petruzzelli/8TPHAX US equity Deborah Petruzzelli.jpg
121,John Steven Williams,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/John Steven Williams/1TPHAX US equity John Steven Williams.jpg
122,John Steven Williams,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/John Steven Williams/2TPHAX US equity John Steven Williams.jpg
123,John Steven Williams,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/John Steven Williams/3TPHAX US equity John Steven Williams.jpg
124,John Steven Williams,https://timothyplan.com/our-funds/summary-hyb.php,"Timothy Plan® | High Yield Bond - TPHAX ...
timothyplan.com",Timothy Plan® | High Yield Bond - TPHAX TPHCX TPHIX,/Users/jsusser/Desktop/managers/John Steven Williams/6TPHAX US equity John Steven Williams.jpg
125,Sonali Pier,https://www.pimco.com/en-us/experts/sonali-pier,"Sonali Pier | PIMCO
pimco.com",Sonali Pier | PIMCO,/Users/jsusser/Desktop/managers/Sonali Pier/1PHDAX US equity Sonali Pier.jpg
126,Sonali Pier,https://fixedincomeus.wbresearch.com/speakers/sonali-pier,"Sonali Pier | Fixed Income Leaders USA ...
fixedincomeus.wbresearch.com",Sonali Pier | Fixed Income Leaders USA Summit 2020,/Users/jsusser/Desktop/managers/Sonali Pier/3PHDAX US equity Sonali Pier.jpg
127,Sonali Pier,https://www.pimco.com/en-us/experts/sonali-pier,"Sonali Pier | PIMCO
pimco.com",Sonali Pier | PIMCO,/Users/jsusser/Desktop/managers/Sonali Pier/4PHDAX US equity Sonali Pier.jpg
128,Sonali Pier,https://www.pimco.com/en-us/experts/sonali-pier,"Sonali Pier | PIMCO
pimco.com",Sonali Pier | PIMCO,/Users/jsusser/Desktop/managers/Sonali Pier/8PHDAX US equity Sonali Pier.jpg
129,Sonali Pier,https://documents.pimco.com/RegulatoryDocuments/renderpdf.aspx?id=v7AS3DBSNTSb4qBHAcAwfNKsI9JWLO1Csby20FnBgHB1csS23bhlUbwGyznb7mhRPbpXLZHTia%2Ba6qK%2BiZHGyQR5HhxLLSat4NAS7jo7iF3Lkpqw0n%2FNsIQQDh7Ejybx3B2BfK0SyTvPTlRMxGh6Yg%3D%3D,"Bond Funds Prospectus ...
documents.pimco.com","PIMCO Funds Supplement Dated November 19, 2020 to the Credit Bond Funds  Prospectus, Short Duration Strategy Funds Prospectus and",/Users/jsusser/Desktop/managers/Sonali Pier/9PHDAX US equity Sonali Pier.jpg
130,Edward Meigs,https://researchfaculty.brighamandwomens.org/BRIProfile.aspx?id=1982,"Edward Meigs Brown - Department of Medicine
researchfaculty.brighamandwomens.org",Edward Meigs Brown - Department of Medicine,/Users/jsusser/Desktop/managers/Edward Meigs/1FEHAX US equity Edward Meigs.jpg
131,Sean Michael Slein,https://www.twst.com/news/first-eagle-portfolio-managers-kimball-brooker-sean-slein-find-safe-high-yield-investments-low-yield-world/,"First Eagle Portfolio Managers Kimball ...
twst.com",First Eagle Portfolio Managers Kimball Brooker and Sean Slein Find Safe  High Yield Investments in a Low Yield World - The Wall Street Transcript,/Users/jsusser/Desktop/managers/Sean Michael Slein/1FEHAX US equity Sean Michael Slein.jpg
132,Sean Michael Slein,https://www.feim.com/download/file/16897?token=uk_bqQSa,"Annual Report
feim.com",Annual Report,/Users/jsusser/Desktop/managers/Sean Michael Slein/4FEHAX US equity Sean Michael Slein.jpg
133,Sean Michael Slein,https://materials.proxyvote.com/default.aspx?docHostID=135510,"Semi-Annual Report
materials.proxyvote.com",Semi-Annual Report,/Users/jsusser/Desktop/managers/Sean Michael Slein/7FEHAX US equity Sean Michael Slein.jpg
134,Ian Spreadbury,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Ian Spreadbury/1FGHNX US equity Ian Spreadbury.jpg
135,Ian Spreadbury,https://www.investmentweek.co.uk/investment-week/news/3063643/fidelitys-ian-spreadbury-retire,"Fidelity's Ian Spreadbury to retire
investmentweek.co.uk",Fidelity's Ian Spreadbury to retire,/Users/jsusser/Desktop/managers/Ian Spreadbury/2FGHNX US equity Ian Spreadbury.jpg
136,Ian Spreadbury,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Ian Spreadbury/3FGHNX US equity Ian Spreadbury.jpg
137,Ian Spreadbury,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Ian Spreadbury/4FGHNX US equity Ian Spreadbury.jpg
138,Ian Spreadbury,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Ian Spreadbury/5FGHNX US equity Ian Spreadbury.jpg
139,Ian Spreadbury,https://www.investorschronicle.co.uk/funds-etfs/2018/10/04/fidelity-bond-veteran-ian-spreadbury-steps-down/,"Fidelity bond veteran Ian Spreadbury ...
investorschronicle.co.uk",Fidelity bond veteran Ian Spreadbury steps down - Investors' Chronicle,/Users/jsusser/Desktop/managers/Ian Spreadbury/6FGHNX US equity Ian Spreadbury.jpg
140,Ian Spreadbury,https://citywireasia.com/news/fidelity-s-spreadbury-negative-gilt-yields-not-impossible/a674509,"Spreadbury: negative gilt yields ...
citywireasia.com",Fidelity's Spreadbury: negative gilt yields not impossible - Citywire,/Users/jsusser/Desktop/managers/Ian Spreadbury/7FGHNX US equity Ian Spreadbury.jpg
141,Ian Spreadbury,https://www.brighttalk.com/webcast/8355/106721/introducing-the-new-portfolio-manager-for-ff-america-angel-agudo,"FF America, Angel Agudo
brighttalk.com","Introducing the new Portfolio Manager for FF America, Angel Agudo",/Users/jsusser/Desktop/managers/Ian Spreadbury/9FGHNX US equity Ian Spreadbury.jpg
142,Ian Spreadbury,https://www.ft.com/content/b7b9826a-d722-11e2-a26a-00144feab7de,"Bolton retires after failing to crack ...
ft.com",Bolton retires after failing to crack China | Financial Times,/Users/jsusser/Desktop/managers/Ian Spreadbury/10FGHNX US equity Ian Spreadbury.jpg
143,Ian Spreadbury,https://www.brighttalk.com/webcast/8355/138237/key-opportunities-and-risks-in-the-iberian-equity-market,"Iberian equity market
brighttalk.com",Key opportunities and risks in the Iberian equity market,/Users/jsusser/Desktop/managers/Ian Spreadbury/11FGHNX US equity Ian Spreadbury.jpg
144,Harley J Lank,https://nb.fidelity.com/public/workplacefunds/view-all/2297,"Fidelity ® Global High Income Fund ...
nb.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Harley J Lank/1FGHNX US equity Harley J Lank.jpg
145,Harley J Lank,https://nb.fidelity.com/public/workplacefunds/view-all/2297,"Fidelity ® Global High Income Fund ...
nb.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Harley J Lank/2FGHNX US equity Harley J Lank.jpg
146,Harley J Lank,https://www.rivers.org/news-detail?pk=960137,"Harley Lank P'21 Elected Rivers' Board ...
rivers.org",Harley Lank P'21 Elected Rivers' Board President | The Rivers School,/Users/jsusser/Desktop/managers/Harley J Lank/3FGHNX US equity Harley J Lank.jpg
147,Lisa J Roche,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Lisa J Roche/1FGHNX US equity Lisa J Roche.jpg
148,Lisa J Roche,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Lisa J Roche/2FGHNX US equity Lisa J Roche.jpg
149,Lisa J Roche,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Lisa J Roche/3FGHNX US equity Lisa J Roche.jpg
150,Lisa J Roche,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/Lisa J Roche/4FGHNX US equity Lisa J Roche.jpg
151,James Durance,https://www.fidelity.com/bin-public/060_www_fidelity_com/documents/SHDOCS/FGHNX/hosts/sh_comm_pmqa.002297.RETAIL_pdf.pdf,"Fidelity® Global High Income Fund
fidelity.com",Fidelity® Global High Income Fund,/Users/jsusser/Desktop/managers/James Durance/1FGHNX US equity James Durance.jpg
152,James Durance,https://www.fidelity.com/bin-public/060_www_fidelity_com/documents/SHDOCS/FGHNX/hosts/sh_comm_pmqa.002297.RETAIL_pdf.pdf,"Fidelity® Global High Income Fund
fidelity.com",Fidelity® Global High Income Fund,/Users/jsusser/Desktop/managers/James Durance/2FGHNX US equity James Durance.jpg
153,James Durance,https://www.fidelity.com/bin-public/060_www_fidelity_com/documents/SHDOCS/FGHNX/hosts/sh_comm_pmqa.002297.RETAIL_pdf.pdf,"Fidelity® Global High Income Fund
fidelity.com",Fidelity® Global High Income Fund,/Users/jsusser/Desktop/managers/James Durance/3FGHNX US equity James Durance.jpg
154,James Durance,https://fundresearch.fidelity.com/mutual-funds/view-all/31641Q854,"Fidelity ® Global High Income Fund ...
fundresearch.fidelity.com",FGHNX - Fidelity ® Global High Income Fund | Fidelity Investments,/Users/jsusser/Desktop/managers/James Durance/4FGHNX US equity James Durance.jpg
155,Joseph W Lind,https://publicnewsupdate.com/vox-sentences-a-ton-of-german-politicians-just-got-hacked/,"German politicians just got hacked | PNU
publicnewsupdate.com",Vox Sentences: A ton of German politicians just got hacked | PNU,/Users/jsusser/Desktop/managers/Joseph W Lind/16NHINX US equity Joseph W Lind.jpg
156,Chris Kocinski,https://www.nb.com/en/fi/biographies/christopher-kocinski,"Neuberger Berman
nb.com",Neuberger Berman,/Users/jsusser/Desktop/managers/Chris Kocinski/1NHINX US equity Chris Kocinski.jpg
157,Chris Kocinski,https://www.nb.com/en/fi/biographies/christopher-kocinski,"Neuberger Berman
nb.com",Neuberger Berman,/Users/jsusser/Desktop/managers/Chris Kocinski/3NHINX US equity Chris Kocinski.jpg
158,Chris Kocinski,https://www.nb.com/en/us/products/mutual-funds/high-income-bond-fund,"High Income Bond Fund | Neuberger Berman
nb.com",High Income Bond Fund | Neuberger Berman,/Users/jsusser/Desktop/managers/Chris Kocinski/7NHINX US equity Chris Kocinski.jpg
159,Chris Kocinski,https://www.dailyherald.com/news/20190314/christopher-kocinski-candidate-profile,"Christopher Kocinski: Candidate profile
dailyherald.com",Christopher Kocinski: Candidate profile,/Users/jsusser/Desktop/managers/Chris Kocinski/8NHINX US equity Chris Kocinski.jpg
160,Chris Kocinski,https://www.nb.com/en/us/products/mutual-funds/high-income-bond-fund,"High Income Bond Fund | Neuberger Berman
nb.com",High Income Bond Fund | Neuberger Berman,/Users/jsusser/Desktop/managers/Chris Kocinski/9NHINX US equity Chris Kocinski.jpg
161,Russ Covode,https://www.nb.com/en/fi/biographies/russ-covode,"Neuberger Berman
nb.com",Neuberger Berman,/Users/jsusser/Desktop/managers/Russ Covode/1NHINX US equity Russ Covode.jpg
162,Russ Covode,https://www.nb.com/en/us/products/mutual-funds/high-income-bond-fund,"High Income Bond Fund | Neuberger Berman
nb.com",High Income Bond Fund | Neuberger Berman,/Users/jsusser/Desktop/managers/Russ Covode/3NHINX US equity Russ Covode.jpg
163,Russ Covode,https://citywireamericas.com/news/neuberger-berman-bond-manager-dies/a1224022,"Neuberger Berman bond manager dies ...
citywireamericas.com",Neuberger Berman bond manager dies - Citywire,/Users/jsusser/Desktop/managers/Russ Covode/4NHINX US equity Russ Covode.jpg
164,Russ Covode,https://citywireamericas.com/news/fit-for-business-efg-asset-managements-hans-abate/a810385,"EFG Asset Management's Hans Abate ...
citywireamericas.com",Fit for business: EFG Asset Management's Hans Abate - Citywire,/Users/jsusser/Desktop/managers/Russ Covode/11NHINX US equity Russ Covode.jpg
165,Dan Doyle,https://www.nb.com/en/us/products/mutual-funds/high-income-bond-fund,"High Income Bond Fund | Neuberger Berman
nb.com",High Income Bond Fund | Neuberger Berman,/Users/jsusser/Desktop/managers/Dan Doyle/1NHINX US equity Dan Doyle.jpg
166,Dan Doyle,https://www.nb.com/en/us/products/mutual-funds/high-income-bond-fund,"High Income Bond Fund | Neuberger Berman
nb.com",High Income Bond Fund | Neuberger Berman,/Users/jsusser/Desktop/managers/Dan Doyle/2NHINX US equity Dan Doyle.jpg
167,Dan Doyle,https://www.nb.com/en/us/products/mutual-funds/high-income-bond-fund,"High Income Bond Fund | Neuberger Berman
nb.com",High Income Bond Fund | Neuberger Berman,/Users/jsusser/Desktop/managers/Dan Doyle/7NHINX US equity Dan Doyle.jpg
168,Gregory M Shea,https://sbhfunds.com/funds/quality-high-yield-fund/,"SBH Mutual Funds |
sbhfunds.com",SBH Mutual Funds |,/Users/jsusser/Desktop/managers/Gregory M Shea/1WTLTX US equity Gregory M Shea.jpg
169,Gregory M Shea,https://sbhfunds.com/funds/quality-high-yield-fund/,"SBH Mutual Funds |
sbhfunds.com",SBH Mutual Funds |,/Users/jsusser/Desktop/managers/Gregory M Shea/2WTLTX US equity Gregory M Shea.jpg
170,Gregory M Shea,https://sbhfunds.com/funds/quality-high-yield-fund/,"SBH Mutual Funds |
sbhfunds.com",SBH Mutual Funds |,/Users/jsusser/Desktop/managers/Gregory M Shea/3WTLTX US equity Gregory M Shea.jpg
171,Gregory M Shea,https://sbhfunds.com/funds/quality-high-yield-fund/,"SBH Mutual Funds |
sbhfunds.com",SBH Mutual Funds |,/Users/jsusser/Desktop/managers/Gregory M Shea/7WTLTX US equity Gregory M Shea.jpg
172,Gregory M Shea,https://sbhfunds.com/funds/quality-high-yield-fund/,"SBH Mutual Funds |
sbhfunds.com",SBH Mutual Funds |,/Users/jsusser/Desktop/managers/Gregory M Shea/11WTLTX US equity Gregory M Shea.jpg
173,John Addeo,https://www.jhinvestments.com/investments/mutual-fund/fixed-income-funds/high-yield-fund-a-jhhbx,"John Hancock High Yield Fund (JHHBX)
jhinvestments.com",John Hancock High Yield Fund (JHHBX),/Users/jsusser/Desktop/managers/John Addeo/1JHHBX US equity John Addeo.jpg
174,John Addeo,https://www.insurancejournal.com/services/newswire/2016/01/22/396098.htm,"Worldwide Facilities, LLC Welcomes ...
insurancejournal.com","Worldwide Facilities, LLC Welcomes Insurance Veteran John Addeo to Its  Board of Directors",/Users/jsusser/Desktop/managers/John Addeo/2JHHBX US equity John Addeo.jpg
175,John Addeo,https://www.hkgreenfinance.org/forum-bio/john-addeo/,"John Addeo - HK Green Finance Association
hkgreenfinance.org",John Addeo - HK Green Finance Association,/Users/jsusser/Desktop/managers/John Addeo/3JHHBX US equity John Addeo.jpg
176,John Addeo,https://www.jhinvestments.com/investments/mutual-fund/fixed-income-funds/high-yield-fund-a-jhhbx,"John Hancock High Yield Fund (JHHBX)
jhinvestments.com",John Hancock High Yield Fund (JHHBX),/Users/jsusser/Desktop/managers/John Addeo/4JHHBX US equity John Addeo.jpg
177,John Addeo,https://www.jhinvestments.com/investments/mutual-fund/fixed-income-funds/high-yield-fund-a-jhhbx,"John Hancock High Yield Fund (JHHBX)
jhinvestments.com",John Hancock High Yield Fund (JHHBX),/Users/jsusser/Desktop/managers/John Addeo/5JHHBX US equity John Addeo.jpg
178,John Addeo,http://manulifemutualfunds.stage.bluerush.ca/portfolio-management/portfolio-managers/john-f-addeo/,"John F. Addeo | Manulife Mutual Funds
manulifemutualfunds.stage.bluerush.ca",John F. Addeo | Manulife Mutual Funds,/Users/jsusser/Desktop/managers/John Addeo/7JHHBX US equity John Addeo.jpg
179,John Addeo,http://manulifemutualfunds.stage.bluerush.ca/media_centre/advisor_en.html,"Multimedia Centre | Manulife Mutual Funds
manulifemutualfunds.stage.bluerush.ca",Multimedia Centre | Manulife Mutual Funds,/Users/jsusser/Desktop/managers/John Addeo/8JHHBX US equity John Addeo.jpg
180,John Addeo,https://www.manulifeim.com/retail/ca/en/viewpoints/fixed-income/generating-income-in-the-era-of-negative-bond-yields,"negative bond yields ...
manulifeim.com",Generating income in the era of negative bond yields | Manulife Investment  Management,/Users/jsusser/Desktop/managers/John Addeo/9JHHBX US equity John Addeo.jpg
181,John Addeo,https://www.ipe.com/high-yield-oil-banks-and-rates/10007315.article,"High Yield: Oil, banks and rates ...
ipe.com","High Yield: Oil, banks and rates | Asset Class Reports | IPE",/Users/jsusser/Desktop/managers/John Addeo/11JHHBX US equity John Addeo.jpg
182,Dennis F McCafferty,https://www.jhinvestments.com/investments/mutual-fund/fixed-income-funds/high-yield-fund-a-jhhbx,"John Hancock High Yield Fund (JHHBX)
jhinvestments.com",John Hancock High Yield Fund (JHHBX),/Users/jsusser/Desktop/managers/Dennis F McCafferty/1JHHBX US equity Dennis F McCafferty.jpg
183,Dennis F McCafferty,https://www.jhinvestments.com/investments/mutual-fund/fixed-income-funds/high-yield-fund-a-jhhbx,"John Hancock High Yield Fund (JHHBX)
jhinvestments.com",John Hancock High Yield Fund (JHHBX),/Users/jsusser/Desktop/managers/Dennis F McCafferty/2JHHBX US equity Dennis F McCafferty.jpg
184,Dennis F McCafferty,https://www.jhinvestments.com/investments/mutual-fund/fixed-income-funds/high-yield-fund-a-jhhbx,"John Hancock High Yield Fund (JHHBX)
jhinvestments.com",John Hancock High Yield Fund (JHHBX),/Users/jsusser/Desktop/managers/Dennis F McCafferty/3JHHBX US equity Dennis F McCafferty.jpg
185,Dennis F McCafferty,https://www.manulifeim.com/retail/ca/en/investments/mutual/MMF516E,"Manulife Investment Management
manulifeim.com",Fund Details | Manulife Investment Management,/Users/jsusser/Desktop/managers/Dennis F McCafferty/4JHHBX US equity Dennis F McCafferty.jpg
186,Dennis F McCafferty,https://www.jhinvestments.com/content/dam/JHINV/Corporate/Resources/BusinessBuilding/quarterly-investment-guide-jhi.pdf,"Quarterly Investment Guide
jhinvestments.com",Quarterly Investment Guide,/Users/jsusser/Desktop/managers/Dennis F McCafferty/5JHHBX US equity Dennis F McCafferty.jpg
187,Eric Hess,https://www.virtus.com/products/newfleet-high-yield,"Virtus Newfleet High Yield Fund ...
virtus.com",Virtus Newfleet High Yield Fund | Virtus Investment Partners,/Users/jsusser/Desktop/managers/Eric Hess/1PHCHX US equity Eric Hess.jpg
188,Eric Hess,https://www.virtus.com/products/newfleet-high-yield,"Virtus Newfleet High Yield Fund ...
virtus.com",Virtus Newfleet High Yield Fund | Virtus Investment Partners,/Users/jsusser/Desktop/managers/Eric Hess/2PHCHX US equity Eric Hess.jpg
189,Eric Hess,https://www.virtus.com/products/newfleet-high-yield,"Virtus Newfleet High Yield Fund ...
virtus.com",Virtus Newfleet High Yield Fund | Virtus Investment Partners,/Users/jsusser/Desktop/managers/Eric Hess/3PHCHX US equity Eric Hess.jpg
190,Eric Hess,https://www.virtus.com/products/newfleet-high-yield,"Virtus Newfleet High Yield Fund ...
virtus.com",Virtus Newfleet High Yield Fund | Virtus Investment Partners,/Users/jsusser/Desktop/managers/Eric Hess/4PHCHX US equity Eric Hess.jpg
191,Bill Eastwood,https://www.virtus.com/products/newfleet-high-yield,"Virtus Newfleet High Yield Fund ...
virtus.com",Virtus Newfleet High Yield Fund | Virtus Investment Partners,/Users/jsusser/Desktop/managers/Bill Eastwood/1PHCHX US equity Bill Eastwood.jpg
